campaign,ad_group,keyword,match_type,intent,landing_page,starting_bid_or_bid_cap,priority,notes
ZG-Search-Launch,AG-Study-Plan,gmat study plan,Exact,commercial,https://www.zakariangmat.com/gmat-study-plan,$1.80 (campaign cap $3.00),High,First $50 test ad group
ZG-Search-Launch,AG-Study-Plan,gmat study plan,Phrase,commercial,https://www.zakariangmat.com/gmat-study-plan,$1.50 (campaign cap $3.00),High,First $50 test ad group
ZG-Search-Launch,AG-Study-Plan,gmat study schedule,Phrase,commercial,https://www.zakariangmat.com/gmat-study-plan,$1.40 (campaign cap $3.00),High,First $50 test ad group
ZG-Search-Launch,AG-Study-Plan,gmat focus study plan,Exact,commercial,https://www.zakariangmat.com/gmat-study-plan,$1.60 (campaign cap $3.00),High,First $50 test ad group
ZG-Search-Launch,AG-Study-Plan,gmat focus study plan,Phrase,commercial,https://www.zakariangmat.com/gmat-study-plan,$1.40 (campaign cap $3.00),High,First $50 test ad group
ZG-Search-Launch,AG-Study-Plan,gmat study plan 3 months,Phrase,commercial,https://www.zakariangmat.com/gmat-study-plan,$1.30 (campaign cap $3.00),High,First $50 test ad group
ZG-Search-Launch,AG-Study-Plan,gmat preparation plan,Phrase,commercial,https://www.zakariangmat.com/gmat-study-plan,$1.30 (campaign cap $3.00),High,First $50 test ad group
ZG-Search-Launch,AG-Study-Plan,how to study for gmat,Phrase,commercial,https://www.zakariangmat.com/gmat-study-plan,$1.10 (campaign cap $3.00),High,First $50 test ad group
ZG-Search-Launch,AG-Error-Log-Template,gmat error log template,Exact,transactional (free tool / lead magnet),https://www.zakariangmat.com/error-log-template,$1.60 (campaign cap $3.00),High,First $50 test ad group
ZG-Search-Launch,AG-Error-Log-Template,gmat error log template,Phrase,transactional (free tool / lead magnet),https://www.zakariangmat.com/error-log-template,$1.40 (campaign cap $3.00),High,First $50 test ad group
ZG-Search-Launch,AG-Error-Log-Template,gmat error log,Exact,transactional (free tool / lead magnet),https://www.zakariangmat.com/error-log-template,$1.40 (campaign cap $3.00),High,First $50 test ad group
