campaign,ad_group,final_url,headline_1,headline_2,headline_3,extra_headlines,description_1,description_2,path_1,path_2,compliance_notes
ZG-Search-Launch,AG-Study-Plan,https://www.zakariangmat.com/gmat-study-plan,GMAT Study Plan,Build Your GMAT Plan,GMAT Focus Study Plan,Free During Private Beta | Free GMAT Study Plan | Plan Built From Your Mock | Adaptive GMAT Study Plan | A Plan You Can Stick To | Start Studying Smarter | GMAT Prep That Adapts | No Credit Card Needed | Plan Around Your Baseline | 62 Interactive Chapters | Quant Verbal Data Insights | Try The Private Beta,Build an adaptive GMAT study plan from your official practice exam baseline.,Free to use during our private beta. No credit card. Start in minutes.,gmat,study-plan,"Honest free-beta framing; original (not official) questions; only founder 565-735 cited; no score guarantee, no GMAC/mba.com affiliation, no emojis. Two more descriptions available: 62 interactive chapters across Quant, Verbal and Data Insights. | Daily spaced review keeps the right topics in front of you."
ZG-Search-Launch,AG-Error-Log-Template,https://www.zakariangmat.com/error-log-template,GMAT Error Log Template,Free GMAT Error Log,Error Log Template CSV,Track Your GMAT Mistakes | Free CSV No Account | Six-Tag Error Log | Fix Repeat Mistakes | Download The Template | GMAT Mistake Tracker | Stop Repeating Errors | Tag Every Wrong Answer | Built By A 735 Scorer | Spot Your Weak Spots | Private Beta Is Free | Get The Full Platform,"Free GMAT error log template. Download the CSV, no account required.","Tag every miss: conceptual, careless, time, misread, strategy or other.",gmat,error-log,"Honest free-beta framing; original (not official) questions; only founder 565-735 cited; no score guarantee, no GMAC/mba.com affiliation, no emojis. Two more descriptions available: Turn wrong answers into a focused review list you actually use. | Want it built in? The full platform is free during our private beta."
ZG-Search-Launch,AG-Mock-Review,https://www.zakariangmat.com/gmat-mock-review,GMAT Mock Review,Review Your GMAT Mocks,GMAT Mock Test Analysis,Learn From Every Mock | Mock-To-Mock Trend | GMAT Practice Test Review | Turn Mocks Into Gains | See Your Behaviour Patterns | Free During Private Beta | Per-Topic Mock Analytics | Stop Wasting Your Mocks | Review Smarter Not Harder | No Credit Card Needed | Full-Length GMAT Mocks | Try The Private Beta,"Review your GMAT mocks by topic, difficulty and behaviour pattern.",Track your mock-to-mock trend and see where points are leaking.,gmat,mock-review,"Honest free-beta framing; original (not official) questions; only founder 565-735 cited; no score guarantee, no GMAC/mba.com affiliation, no emojis. Two more descriptions available: Full-length mocks: three sections, 45 minutes each, auto-submit. | Free to use during our private beta. No credit card required."
ZG-Search-Launch,AG-Data-Insights,https://www.zakariangmat.com/gmat-data-insights-practice,Data Insights Practice,GMAT Data Insights Prep,Practice GMAT DI,Master Data Insights | DI Practice Questions | GMAT Focus Data Insights | Free During Private Beta | Build Your DI Skills | No Credit Card Needed | Per-Topic DI Analytics | Practice DI The Right Way | Large DI Question Bank | Track Your DI Progress | Interactive DI Chapters | Try The Private Beta,Practice GMAT Data Insights with a large interactive question bank.,Interactive Data Insights chapters plus per-topic analytics.,gmat,data-insights,"Honest free-beta framing; original (not official) questions; only founder 565-735 cited; no score guarantee, no GMAC/mba.com affiliation, no emojis. Two more descriptions available: Spaced review keeps tricky DI question types from slipping away. | Free to use during our private beta. No credit card required."
ZG-Search-Launch,AG-Quant-Practice,https://www.zakariangmat.com/gmat-quant-practice,GMAT Quant Practice,Practice GMAT Quant,GMAT Quant Questions,Sharpen Your GMAT Math | GMAT Focus Quant Prep | Free During Private Beta | Large Quant Question Bank | Track Quant Progress | No Credit Card Needed | Per-Difficulty Analytics | Find Your Quant Weak Spots | Interactive Quant Chapters | Practice Quant Smarter | Quant Built On Your Mock | Try The Private Beta,Practice GMAT Quant with a large bank of interactive questions.,Per-topic and per-difficulty analytics show exactly where to focus.,gmat,quant-practice,"Honest free-beta framing; original (not official) questions; only founder 565-735 cited; no score guarantee, no GMAC/mba.com affiliation, no emojis. Two more descriptions available: Spaced review schedules your weak quant topics automatically. | Free to use during our private beta. No credit card required."
ZG-Search-Launch,AG-Prep-Platform,https://www.zakariangmat.com/gmat-private-beta,GMAT Prep Platform,An Adaptive GMAT Platform,Online GMAT Prep,GMAT Focus Prep Online | Free During Private Beta | Built By A 735 Scorer | Reserve Founding Access | No Credit Card Needed | All-In-One GMAT Prep | Chapters Mocks Error Log | Plan Built From Your Mock | Try The Private Beta | Founding Members Welcome | Smarter GMAT Prep | Start Your Prep Today,An adaptive GMAT prep platform built by a self-taught 735 scorer.,"Chapters, a question bank, error log, mocks and a study plan in one.",gmat,private-beta,"Honest free-beta framing; original (not official) questions; only founder 565-735 cited; no score guarantee, no GMAC/mba.com affiliation, no emojis. Two more descriptions available: Free to use during our private beta. No credit card required. | Reserve founding access and help shape the platform early."
ZG-Search-Launch,AG-Verbal-Practice,https://www.zakariangmat.com/gmat-verbal-practice,GMAT Verbal Practice,Verbal Practice Questions,Critical Reasoning Prep,"Reading Comp Practice | GMAT Focus Verbal Prep | CR and RC Practice | Free Private Beta Now | Free, No Credit Card | Built by a 735 Scorer | Large Question Bank | 62 Chapters of Prep | Six-Tag Error Log | Full-Length Mocks | Per-Topic Analytics | Spaced Review Built In",Practice GMAT Focus Verbal: Critical Reasoning and Reading Comprehension. Free beta.,Original CR and RC questions with a six-tag error log and spaced review. No card.,verbal,practice,"Honest free-beta framing; original (not official) questions; only founder 565-735 cited; no score guarantee, no GMAC/mba.com affiliation, no emojis. Two more descriptions available: Free private beta. Large question bank, per-topic analytics, built by a 735 scorer. | Drill verbal with full-length mocks and an adaptive plan from your practice baseline."
ZG-Search-Launch,AG-Data-Sufficiency,https://www.zakariangmat.com/gmat-data-sufficiency-practice,Data Sufficiency Practice,GMAT Data Sufficiency,"DS Drills, Free Beta",Practice DS Questions | Free GMAT DS Practice | Data Insights DS Drills | Sharpen Your DS Skills | Free Private Beta Access | No Credit Card Needed | Large DS Question Bank | Built by a 735 Scorer | Six-Tag Error Log | Spaced DS Review | Per-Topic DS Analytics | Full-Length Mocks,Drill Data Sufficiency questions in a free private beta. No credit card required.,Original DS practice with a six-tag error log and spaced review. Free during beta.,data,sufficiency,"Honest free-beta framing; original (not official) questions; only founder 565-735 cited; no score guarantee, no GMAC/mba.com affiliation, no emojis. Two more descriptions available: Track every DS miss with per-topic analytics. Built by a 735 scorer. Free beta. | Practice Data Insights DS with full-length mocks and an adaptive study plan."
ZG-Search-Launch,AG-Study-Plan-2mo,https://www.zakariangmat.com/gmat-study-plan-2-months,2-Month GMAT Study Plan,8-Week GMAT Study Plan,Your 2-Month GMAT Plan,"Week-by-Week GMAT Plan | Free GMAT Study Plan | 8-Week Plan, Free Beta | Plan From Your Baseline | Anchored to Your Baseline | Spaced Review Built In | Built by a 735 Scorer | Free Private Beta | No Credit Card Needed | 62 Chapters, One Plan | Full-Length Practice Mocks | Track Progress by Topic","An 8-week, week-by-week GMAT study plan anchored to your practice baseline.",Free private beta. No credit card. Spaced review and per-topic analytics.,gmat,study-plan,"Honest free-beta framing; original (not official) questions; only founder 565-735 cited; no score guarantee, no GMAC/mba.com affiliation, no emojis. Two more descriptions available: 62 chapters, a large question bank, and full-length mocks. Built by a 735 scorer. | Pace depends on your baseline. An honest plan, no score promises. Try it free."
ZG-Search-Launch,AG-Free-Practice,https://www.zakariangmat.com/gmat-practice-questions-free,Free GMAT Practice,Free GMAT Questions,"GMAT Practice, Free Beta",Original GMAT Questions | Free During Private Beta | No Credit Card Needed | Large GMAT Question Bank | 62 Chapters of Practice | Practice GMAT Focus Free | Six-Tag Error Log | Spaced Review Built In | Per-Topic Analytics | Built by a 735 Scorer | Full-Length Mocks | Free GMAT Prep Beta,"Free during a private beta. Original practice questions, no credit card needed.",62 chapters and a large question bank. Practice GMAT Focus topics for free.,free-practice,questions,"Honest free-beta framing; original (not official) questions; only founder 565-735 cited; no score guarantee, no GMAC/mba.com affiliation, no emojis. Two more descriptions available: Six-tag error log, spaced review, and per-topic analytics. Free private beta. | Independent prep built by a 735 scorer. Full-length mocks and free practice."
