"Date","Question source","Section","Topic","Difficulty","Question type","Mistake tag","What I got wrong (one line)","Why — root cause (one sentence)","Fix — what I'd do next time (one sentence)","Time spent (sec)","Re-tested? (Y/N)","Re-test result"
"2026-05-03","Zakarian GMAT — Algebra set 3","Quant","Algebra","Hard","DS","Conceptual","Forgot to flip inequality when multiplying by a negative","I treated the unknown sign of the variable as if it were positive","Before multiplying both sides by a variable in DS, ask: is its sign known? If no, split into cases","145","N",""
"2026-05-03","Zakarian GMAT — CR set 1","Verbal","Critical Reasoning","Medium","Assumption","Strategy","Eliminated the right answer because it 'felt too broad'","Assumption answers are usually broad — that's the point of an assumption","Stop using narrowness as an elimination filter on assumption questions","98","N",""
"2026-05-04","Zakarian GMAT — DI set 2","DI","Table Analysis","Medium","Table Analysis","Time pressure","Tried to compute exact values when only a comparison was needed","I started solving without first reading what the question actually asked","Read all three statements first, ask 'comparison or computation', then sort the table","178","N",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"This template logs your misses. It cannot surface the patterns or space your re-tests for you. The platform does: enter an official-practice-exam baseline and it builds your weak-area plan and spaced review automatically. Free while it is in private beta — https://www.zakariangmat.com","","","","","","","","","","","",""
